Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
2020;VR;NLB;3892;Müller, Di. EAG;13;37;28;12;9;8;2;0;0;11;2;2;0;1;6;10;3;0;0;0;0;3;0;4;22;Luzern Eagles II;Mai 17;0.321;0.486;0.393;0.879;1;6.17;0.6;0.36
2020;VR;NLB;3916;Novas Gil, Lu. LIO;16;60;49;20;20;15;5;0;1;28;6;12;1;1;8;5;0;0;3;1;0;9;0;2;24;Zürich Lions;Nov 23;0.408;0.467;0.571;1.038;0.923;7.5;1.6;0.1
2020;VR;NLB;3933;Palatinus, Ch. CHA;5;18;15;2;3;4;0;0;0;3;0;0;0;0;2;6;1;0;0;0;0;0;0;2;10;Zürich Challengers II;02. Jul;0.2;0.333;0.2;0.533;.---;9;0.33;0.4
2020;VR;NLB;3936;Pasche, Mi. IND;2;4;3;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;Lausanne Indians;0/1;0;0.25;0;0.25;1;4;-.--;0
2020;VR;NLB;3959;Piguet, Lé. IND;13;42;28;6;4;5;0;0;0;4;0;4;0;0;9;11;4;1;0;0;1;1;0;3;30;Lausanne Indians;Mär 17;0.143;0.415;0.143;0.557;1;4.67;0.82;0.39
2020;VR;NLB;3972;Räber, Be. UNI;4;13;9;3;3;1;0;0;0;3;0;5;0;0;4;3;0;0;0;0;0;1;0;0;4;Hünenberg Unicorns;02. Apr;0.333;0.538;0.333;0.872;1;3.25;1.33;0.33
2020;VR;NLB;3992;Reyes, Ca. LIO;9;27;26;0;9;7;1;0;0;10;1;1;0;0;1;10;0;0;0;0;0;0;0;4;20;Zürich Lions;Jun 16;0.346;0.37;0.385;0.755;1;27;0.1;0.38
2020;VR;NLB;3993;Reyes, Re. UNI;16;69;60;24;30;17;2;0;0;32;2;19;1;2;8;8;1;0;0;0;0;4;0;10;28;Hünenberg Unicorns;15/30;0.5;0.565;0.533;1.099;0.95;8.63;1;0.13
2020;VR;NLB;4005;Rihs, Yv. IND;12;47;41;7;14;11;1;0;0;15;1;1;2;0;5;3;0;0;0;0;1;1;1;6;23;Lausanne Indians;Aug 24;0.341;0.413;0.366;0.779;0.333;9.4;1.67;0.07
2020;VR;NLB;4007;Ritzmann, Je. MUS;11;35;27;10;5;5;1;0;0;6;1;13;0;0;7;5;1;0;0;0;0;3;0;2;7;Embrach Mustangs;01. Okt;0.185;0.371;0.222;0.594;1;5;1.4;0.19
